
Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
CH	kmeans	k=10	11.91 km	13.78 km	12.77 km	13.86 km	10	0
CH	kmeans	k=20	7.66 km	8.47 km	7.93 km	8.62 km	20	0
CH	kmeans	k=35	4.42 km	4.81 km	4.48 km	5.03 km	35	0
CH	kmeans	k=50	1.81 km	2.51 km	2.03 km	2.83 km	50	0
CH	kmeans	k=75	0.28 km	0.88 km	0.35 km	1.31 km	75	0
CH	kmeans	k=100	0.08 km	0.33 km	0.09 km	0.79 km	100	0

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
BCMS	kmeans	k=10	11.82 km	24.14 km	17.10 km	28.86 km	10	0
BCMS	kmeans	k=20	6.73 km	14.97 km	9.92 km	19.73 km	20	0
BCMS	kmeans	k=35	5.15 km	10.02 km	5.07 km	13.85 km	35	0
BCMS	kmeans	k=50	3.86 km	7.40 km	4.04 km	10.28 km	50	0
BCMS	kmeans	k=75	2.67 km	5.06 km	3.00 km	7.99 km	75	0
BCMS	kmeans	k=100	2.30 km	4.04 km	2.69 km	6.57 km	100	0

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
DE-AT	kmeans	k=10	63.26 km	66.96 km	64.29 km	68.17 km	10	0
DE-AT	kmeans	k=20	43.80 km	47.40 km	44.84 km	48.30 km	20	0
DE-AT	kmeans	k=35	30.20 km	33.30 km	31.07 km	34.01 km	35	0
DE-AT	kmeans	k=50	22.26 km	25.67 km	22.80 km	26.44 km	50	0
DE-AT	kmeans	k=75	17.41 km	19.82 km	17.92 km	20.46 km	75	0
DE-AT	kmeans	k=100	14.31 km	16.59 km	14.86 km	17.25 km	100	0

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
CH	miikka	cellsize=0.1x0.1	3.75 km	3.74 km	3.75 km	3.86 km	126	55
CH	miikka	cellsize=0.2x0.2	7.52 km	7.26 km	7.52 km	7.25 km	61	8
CH	miikka	cellsize=0.5x0.5	17.06 km	16.64 km	17.08 km	16.69 km	15	1

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
BCMS	miikka	cellsize=0.5x0.5	21.25 km	21.15 km	21.18 km	20.82 km	121	21
BCMS	miikka	cellsize=1x1	39.92 km	37.77 km	36.68 km	35.00 km	38	1
BCMS	miikka	cellsize=2x2	87.50 km	82.16 km	79.79 km	71.47 km	14	0

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
DE-AT	miikka	cellsize=0.5x0.5	17.91 km	17.94 km	17.91 km	17.93 km	257	6
DE-AT	miikka	cellsize=1x1	35.23 km	34.76 km	35.17 km	34.76 km	75	0
DE-AT	miikka	cellsize=2x2	71.55 km	70.63 km	71.18 km	70.40 km	23	0

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
CH	tommi	numcells=9x9	8.36 km	9.14 km	8.36 km	9.10 km	55	4

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
BCMS	tommi	numcells=9x9	31.98 km	31.10 km	31.25 km	30.81 km	60	7

Task	Method	Params	Train median	Train mean	Dev median	Dev mean	Unique labels	Repl dev labels
DE-AT	tommi	numcells=9x9	36.82 km	42.28 km	36.92 km	42.84 km	69	0
